From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
P14555,P14555,reviewed,PA2GA_HUMAN,"Phospholipase A2, membrane associated (EC 3.1.1.4) (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2) (NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)",PLA2G2A PLA2B PLA2L RASF-A,Homo sapiens (Human),144,PLA2G2A
O14908,O14908,reviewed,GIPC1_HUMAN,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),GIPC1 C19orf3 GIPC RGS19IP1,Homo sapiens (Human),333,GIPC1
P54108,P54108,reviewed,CRIS3_HUMAN,Cysteine-rich secretory protein 3 (CRISP-3) (Specific granule protein of 28 kDa) (SGP28),CRISP3,Homo sapiens (Human),245,CRISP3
P25789,P25789,reviewed,PSA4_HUMAN,Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L) (Proteasome subunit alpha-3) (alpha-3),PSMA4 HC9 PSC9,Homo sapiens (Human),261,PSMA4
Q99627,Q99627,reviewed,CSN8_HUMAN,COP9 signalosome complex subunit 8 (SGN8) (Signalosome subunit 8) (COP9 homolog) (hCOP9) (JAB1-containing signalosome subunit 8),COPS8 CSN8,Homo sapiens (Human),209,COPS8
O75822,O75822,reviewed,EIF3J_HUMAN,Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35),EIF3J EIF3S1 PRO0391,Homo sapiens (Human),258,EIF3J
P25685,P25685,reviewed,DNJB1_HUMAN,DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1),DNAJB1 DNAJ1 HDJ1 HSPF1,Homo sapiens (Human),340,DNAJB1
Q99623,Q99623,reviewed,PHB2_HUMAN,Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity),PHB2 BAP REA,Homo sapiens (Human),299,PHB2
P05387,P05387,reviewed,RLA2_HUMAN,Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44),RPLP2 D11S2243E RPP2,Homo sapiens (Human),115,RPLP2
Q7Z4W1,Q7Z4W1,reviewed,DCXR_HUMAN,L-xylulose reductase (XR) (EC 1.1.1.10) (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase) (kiDCR) (Short chain dehydrogenase/reductase family 20C member 1) (Sperm surface protein P34H),DCXR SDR20C1,Homo sapiens (Human),244,DCXR
Q14155,Q14155,reviewed,ARHG7_HUMAN,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),ARHGEF7 COOL1 KIAA0142 P85SPR PAK3BP PIXB Nbla10314,Homo sapiens (Human),803,ARHGEF7
Q8IWL2,Q8IWL2,reviewed,SFTA1_HUMAN,Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4),SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B,Homo sapiens (Human),248,SFTPA1
P62244,P62244,reviewed,RS15A_HUMAN,Small ribosomal subunit protein uS8 (40S ribosomal protein S15a),RPS15A OK/SW-cl.82,Homo sapiens (Human),130,RPS15A
O95573,O95573,reviewed,ACSL3_HUMAN,Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2),ACSL3 ACS3 FACL3 LACS3,Homo sapiens (Human),720,ACSL3
Q8WUH6,Q8WUH6,reviewed,TM263_HUMAN,Transmembrane protein 263,TMEM263 C12orf23,Homo sapiens (Human),116,TMEM263
P30040,P30040,reviewed,ERP29_HUMAN,Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31),ERP29 C12orf8 ERP28,Homo sapiens (Human),261,ERP29
Q14623,Q14623,reviewed,IHH_HUMAN,Indian hedgehog protein (IHH) (EC 3.1.-.-) (HHG-2) [Cleaved into: Indian hedgehog protein N-product],IHH,Homo sapiens (Human),411,IHH
P22528,P22528,reviewed,SPR1B_HUMAN,Cornifin-B (14.9 kDa pancornulin) (Small proline-rich protein IB) (SPR-IB),SPRR1B,Homo sapiens (Human),89,SPRR1B
P27708,P27708,reviewed,PYR1_HUMAN,Multifunctional protein CAD (Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase) [Includes: Glutamine-dependent carbamoyl phosphate synthase (EC 6.3.5.5); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],CAD,Homo sapiens (Human),2225,CAD
Q02818,Q02818,reviewed,NUCB1_HUMAN,Nucleobindin-1 (CALNUC),NUCB1 NUC,Homo sapiens (Human),461,NUCB1
Q9NZQ7,Q9NZQ7,reviewed,PD1L1_HUMAN,Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274),CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1,Homo sapiens (Human),290,CD274
P04424,P04424,reviewed,ARLY_HUMAN,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),ASL,Homo sapiens (Human),464,ASL
P02656,P02656,reviewed,APOC3_HUMAN,Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3),APOC3,Homo sapiens (Human),99,APOC3
Q15661,Q15661,reviewed,TRYB1_HUMAN,Tryptase alpha/beta-1 (Tryptase-1) (EC 3.4.21.59) (Tryptase I) (Tryptase alpha-1),TPSAB1 TPS1 TPS2 TPSB1,Homo sapiens (Human),275,TPSAB1
Q14240,Q14240,reviewed,IF4A2_HUMAN,Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2),EIF4A2 DDX2B EIF4F,Homo sapiens (Human),407,EIF4A2
Q86TB9,Q86TB9,reviewed,PATL1_HUMAN,Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b),PATL1 OK/KNS-cl.5,Homo sapiens (Human),770,PATL1
P02549,P02549,reviewed,SPTA1_HUMAN,"Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)",SPTA1 SPTA,Homo sapiens (Human),2419,SPTA1
P06703,P06703,reviewed,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,Homo sapiens (Human),90,S100A6
P47813,P47813,reviewed,IF1AX_HUMAN,"Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)",EIF1AX EIF1A EIF4C,Homo sapiens (Human),144,EIF1AX
A0A0B4J1U3,A0A0B4J1U3,reviewed,LV136_HUMAN,Immunoglobulin lambda variable 1-36,IGLV1-36,Homo sapiens (Human),117,IGLV1-36
P07858,P07858,reviewed,CATB_HUMAN,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,Homo sapiens (Human),339,CTSB
Q16832,Q16832,reviewed,DDR2_HUMAN,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)",DDR2 NTRKR3 TKT TYRO10,Homo sapiens (Human),855,DDR2
O94989,O94989,reviewed,ARHGF_HUMAN,Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF),ARHGEF15 KIAA0915,Homo sapiens (Human),841,ARHGEF15
Q9Y4R8,Q9Y4R8,reviewed,TELO2_HUMAN,Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2),TELO2 KIAA0683,Homo sapiens (Human),837,TELO2
Q96IY4,Q96IY4,reviewed,CBPB2_HUMAN,Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI),CPB2,Homo sapiens (Human),423,CPB2
Q9NQ29,Q9NQ29,reviewed,LUC7L_HUMAN,Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89),LUC7L LUC7L1,Homo sapiens (Human),371,LUC7L
O75665,O75665,reviewed,OFD1_HUMAN,Centriole and centriolar satellite protein OFD1 (Oral-facial-digital syndrome 1 protein) (Protein 71-7A),OFD1 CXorf5,Homo sapiens (Human),1012,OFD1
P04264,P04264,reviewed,K2C1_HUMAN,"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)",KRT1 KRTA,Homo sapiens (Human),644,KRT1
Q8TCT9,Q8TCT9,reviewed,SPP_HUMAN,Signal peptide peptidase (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Minor histocompatibility antigen H13) (Presenilin-like protein 3) (Signal peptide peptidase-like 1),HM13 H13 IMP1 PSL3 SPP MSTP086,Homo sapiens (Human),377,HM13
Q9Y4F3,Q9Y4F3,reviewed,MARF1_HUMAN,Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1),MARF1 KIAA0430 LKAP,Homo sapiens (Human),1742,MARF1
O43181,O43181,reviewed,NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)",NDUFS4,Homo sapiens (Human),175,NDUFS4
P06734,P06734,reviewed,FCER2_HUMAN,Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form],FCER2 CD23A CLEC4J FCE2 IGEBF,Homo sapiens (Human),321,FCER2
P49720,P49720,reviewed,PSB3_HUMAN,Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome subunit beta-3) (beta-3) (Proteasome theta chain),PSMB3,Homo sapiens (Human),205,PSMB3
Q9HCN6,Q9HCN6,reviewed,GPVI_HUMAN,Platelet glycoprotein VI (GPVI) (Glycoprotein 6),GP6,Homo sapiens (Human),339,GP6
Q14314,Q14314,reviewed,FGL2_HUMAN,Fibroleukin (Fibrinogen-like protein 2) (pT49),FGL2,Homo sapiens (Human),439,FGL2
Q93009,Q93009,reviewed,UBP7_HUMAN,Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7),USP7 HAUSP,Homo sapiens (Human),1102,USP7
Q7Z5L7,Q7Z5L7,reviewed,PODN_HUMAN,Podocan,PODN SLRR5A UNQ293/PRO332,Homo sapiens (Human),613,PODN
P55010,P55010,reviewed,IF5_HUMAN,Eukaryotic translation initiation factor 5 (eIF-5),EIF5,Homo sapiens (Human),431,EIF5
P10515,P10515,reviewed,ODP2_HUMAN,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)",DLAT DLTA,Homo sapiens (Human),647,DLAT
Q6ZTR5,Q6ZTR5,reviewed,CFA47_HUMAN,Cilia- and flagella-associated protein 47,CFAP47 CHDC2 CXorf22 CXorf30 CXorf59,Homo sapiens (Human),3187,CFAP47
Q9BWH2,Q9BWH2,reviewed,FUND2_HUMAN,FUN14 domain-containing protein 2 (Cervical cancer proto-oncogene 3 protein) (HCC-3) (Hepatitis C virus core-binding protein 6),FUNDC2 HCBP6 DC44 HCC3 PD03104,Homo sapiens (Human),189,FUNDC2
O95319,O95319,reviewed,CELF2_HUMAN,CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (hNAPOR) (RNA-binding protein BRUNOL-3),CELF2 BRUNOL3 CUGBP2 ETR3 NAPOR,Homo sapiens (Human),508,CELF2
Q15262,Q15262,reviewed,PTPRK_HUMAN,Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48),PTPRK PTPK,Homo sapiens (Human),1439,PTPRK
P80188,P80188,reviewed,NGAL_HUMAN,Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25),LCN2 HNL NGAL,Homo sapiens (Human),198,LCN2
Q09327,Q09327,reviewed,MGAT3_HUMAN,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)",MGAT3 GGNT3,Homo sapiens (Human),533,MGAT3
P43121,P43121,reviewed,MUC18_HUMAN,Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146),MCAM MUC18,Homo sapiens (Human),646,MCAM
O95140,O95140,reviewed,MFN2_HUMAN,Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2),MFN2 CPRP1 KIAA0214,Homo sapiens (Human),757,MFN2
O00160,O00160,reviewed,MYO1F_HUMAN,Unconventional myosin-If (Myosin-Ie),MYO1F,Homo sapiens (Human),1098,MYO1F
O14957,O14957,reviewed,QCR10_HUMAN,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein),UQCR11 UQCR,Homo sapiens (Human),56,UQCR11
P32119,P32119,reviewed,PRDX2_HUMAN,Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2),PRDX2 NKEFB TDPX1,Homo sapiens (Human),198,PRDX2
Q8WUA8,Q8WUA8,reviewed,TSK_HUMAN,Tsukushi (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54),TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788,Homo sapiens (Human),353,TSKU
P19801,P19801,reviewed,AOC1_HUMAN,Diamine oxidase [copper-containing] (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase) (Kidney amine oxidase) (KAO) (KDAO),AOC1 ABP ABP1 DAO,Homo sapiens (Human),751,AOC1
Q9UNX9,Q9UNX9,reviewed,KCJ14_HUMAN,"ATP-sensitive inward rectifier potassium channel 14 (Inward rectifier K(+) channel Kir2.4) (IRK-4) (Potassium channel, inwardly rectifying subfamily J member 14)",KCNJ14 IRK4,Homo sapiens (Human),436,KCNJ14
Q96PD5,Q96PD5,reviewed,PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L),PGLYRP2 PGLYRPL PGRPL UNQ3103/PRO10102,Homo sapiens (Human),576,PGLYRP2
O75844,O75844,reviewed,FACE1_HUMAN,CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog),ZMPSTE24 FACE1 STE24,Homo sapiens (Human),475,ZMPSTE24
Q9Y277,Q9Y277,reviewed,VDAC3_HUMAN,Non-selective voltage-gated ion channel VDAC3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3),VDAC3,Homo sapiens (Human),283,VDAC3
Q99879,Q99879,reviewed,H2B1M_HUMAN,Histone H2B type 1-M (Histone H2B.e) (H2B/e),H2BC14 H2BFE HIST1H2BM,Homo sapiens (Human),126,H2BC14
Q8IWE2,Q8IWE2,reviewed,NXP20_HUMAN,Protein NOXP20 (Nervous system overexpressed protein 20) (Protein FAM114A1),FAM114A1 NOXP20,Homo sapiens (Human),563,FAM114A1
Q15555,Q15555,reviewed,MARE2_HUMAN,Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2),MAPRE2 RP1,Homo sapiens (Human),327,MAPRE2
P0DJI9,P0DJI9,reviewed,SAA2_HUMAN,Serum amyloid A-2 protein (SAA2) [Cleaved into: Amyloid A2 protein (AA2)],SAA2,Homo sapiens (Human),122,SAA2
Q9NSI8,Q9NSI8,reviewed,SAMN1_HUMAN,"SAM domain-containing protein SAMSN-1 (Hematopoietic adaptor containing SH3 and SAM domains 1) (Nash1) (SAM domain, SH3 domain and nuclear localization signals protein 1) (SH3-SAM adaptor protein)",SAMSN1 HACS1,Homo sapiens (Human),373,SAMSN1
Q96JA1,Q96JA1,reviewed,LRIG1_HUMAN,Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1),LRIG1 LIG1,Homo sapiens (Human),1093,LRIG1
Q12884,Q12884,reviewed,SEPR_HUMAN,"Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]",FAP,Homo sapiens (Human),760,FAP
P05107,P05107,reviewed,ITB2_HUMAN,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",ITGB2 CD18 MFI7,Homo sapiens (Human),769,ITGB2
P60891,P60891,reviewed,PRPS1_HUMAN,Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I),PRPS1,Homo sapiens (Human),318,PRPS1
P55084,P55084,reviewed,ECHB_HUMAN,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]",HADHB MSTP029,Homo sapiens (Human),474,HADHB
Q16769,Q16769,reviewed,QPCT_HUMAN,Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC),QPCT,Homo sapiens (Human),361,QPCT
P13765,P13765,reviewed,DOB_HUMAN,"HLA class II histocompatibility antigen, DO beta chain (MHC class II antigen DOB)",HLA-DOB,Homo sapiens (Human),273,HLA-DOB
O15042,O15042,reviewed,SR140_HUMAN,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),U2SURP KIAA0332 SR140,Homo sapiens (Human),1029,U2SURP
Q8IVT5,Q8IVT5,reviewed,KSR1_HUMAN,Kinase suppressor of Ras 1 (EC 2.7.11.1),KSR1 KSR,Homo sapiens (Human),923,KSR1
P43304,P43304,reviewed,GPDM_HUMAN,"Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3) (mitohondrial glycerophosphate dehydrogenase gene) (mGDH) (mtGPD)",GPD2,Homo sapiens (Human),727,GPD2
P35443,P35443,reviewed,TSP4_HUMAN,Thrombospondin-4,THBS4 TSP4,Homo sapiens (Human),961,THBS4
A0A0A0MRZ8,A0A0A0MRZ8,reviewed,KVD11_HUMAN,Immunoglobulin kappa variable 3D-11,IGKV3D-11,Homo sapiens (Human),115,IGKV3D-11
P08559,P08559,reviewed,ODPA_HUMAN,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",PDHA1 PHE1A,Homo sapiens (Human),390,PDHA1
Q9UKL3,Q9UKL3,reviewed,C8AP2_HUMAN,CASP8-associated protein 2 (FLICE-associated huge protein),CASP8AP2 FLASH KIAA1315 RIP25,Homo sapiens (Human),1982,CASP8AP2
P27986,P27986,reviewed,P85A_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha),PIK3R1 GRB1,Homo sapiens (Human),724,PIK3R1
Q96TC7,Q96TC7,reviewed,RMD3_HUMAN,Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51),RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274,Homo sapiens (Human),470,RMDN3
O15511,O15511,reviewed,ARPC5_HUMAN,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),ARPC5 ARC16,Homo sapiens (Human),151,ARPC5
O75427,O75427,reviewed,LRCH4_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein),LRCH4 LRN LRRN1 LRRN4,Homo sapiens (Human),683,LRCH4
O00571,O00571,reviewed,DDX3X_HUMAN,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,Homo sapiens (Human),662,DDX3X
P18124,P18124,reviewed,RL7_HUMAN,Large ribosomal subunit protein uL30 (60S ribosomal protein L7),RPL7,Homo sapiens (Human),248,RPL7
P19838,P19838,reviewed,NFKB1_HUMAN,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],NFKB1,Homo sapiens (Human),968,NFKB1
P50453,P50453,reviewed,SPB9_HUMAN,Serpin B9 (Cytoplasmic antiproteinase 3) (CAP-3) (CAP3) (Peptidase inhibitor 9) (PI-9),SERPINB9 PI9,Homo sapiens (Human),376,SERPINB9
Q9NT62,Q9NT62,reviewed,ATG3_HUMAN,Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96),ATG3 APG3 APG3L,Homo sapiens (Human),314,ATG3
Q7Z434,Q7Z434,reviewed,MAVS_HUMAN,Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA),MAVS IPS1 KIAA1271 VISA,Homo sapiens (Human),540,MAVS
Q02094,Q02094,reviewed,RHAG_HUMAN,Ammonium transporter Rh type A (Erythrocyte membrane glycoprotein Rh50) (Erythrocyte plasma membrane 50 kDa glycoprotein) (Rh50A) (Rhesus blood group family type A glycoprotein) (Rh family type A glycoprotein) (Rh type A glycoprotein) (Rhesus blood group-associated ammonia channel) (Rhesus blood group-associated glycoprotein) (CD antigen CD241),RHAG RH50,Homo sapiens (Human),409,RHAG
Q92743,Q92743,reviewed,HTRA1_HUMAN,Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11),HTRA1 HTRA PRSS11,Homo sapiens (Human),480,HTRA1
O95497,O95497,reviewed,VNN1_HUMAN,Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1),VNN1,Homo sapiens (Human),513,VNN1
P61960,P61960,reviewed,UFM1_HUMAN,Ubiquitin-fold modifier 1,UFM1 C13orf20 BM-002,Homo sapiens (Human),85,UFM1
Q9H2G2,Q9H2G2,reviewed,SLK_HUMAN,STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2),SLK KIAA0204 STK2,Homo sapiens (Human),1235,SLK
Q9BXJ0,Q9BXJ0,reviewed,C1QT5_HUMAN,Complement C1q tumor necrosis factor-related protein 5,C1QTNF5 CTRP5 UNQ303/PRO344,Homo sapiens (Human),243,C1QTNF5
Q5SW79,Q5SW79,reviewed,CE170_HUMAN,Centrosomal protein of 170 kDa (Cep170) (KARP-1-binding protein) (KARP1-binding protein),CEP170 FAM68A KAB KIAA0470,Homo sapiens (Human),1584,CEP170
O75954,O75954,reviewed,TSN9_HUMAN,Tetraspanin-9 (Tspan-9) (Tetraspan NET-5),TSPAN9 NET5,Homo sapiens (Human),239,TSPAN9
O43149,O43149,reviewed,ZZEF1_HUMAN,Zinc finger ZZ-type and EF-hand domain-containing protein 1,ZZEF1 KIAA0399,Homo sapiens (Human),2961,ZZEF1
O43676,O43676,reviewed,NDUB3_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit),NDUFB3,Homo sapiens (Human),98,NDUFB3
